id_nb,name,type_1,type_2,link,data_species,data_height,data_weight,data_abilities,training_catch_rate,training_base_exp,training_growth_rate, breeding_gender, breeding_gender,stats_hp,stats_attack,stats_defense, stats_sp_atk,stats_sp_def,    stats_speed,stats_total
#0161,Sentret,Normal,Nan,/pokedex/sentret,Scout Pokémon,0.8,6,Run Away,255,43,Medium Fast,50% male, 50% female,35,46,34,35,45,20,215
#0162,Furret,Normal,Nan,/pokedex/furret,Long Body Pokémon,1.8,32.5,Run Away,90,145,Medium Fast,50% male, 50% female,85,76,64,45,55,90,415
#0163,Hoothoot,Normal,Flying,/pokedex/hoothoot,Owl Pokémon,0.7,21.2,Insomnia,255,52,Medium Fast,50% male, 50% female,60,30,30,36,56,50,262
#0164,Noctowl,Normal,Flying,/pokedex/noctowl,Owl Pokémon,1.6,40.8,Insomnia,90,158,Medium Fast,50% male, 50% female,100,50,50,86,96,70,452
#0165,Ledyba,Bug,Flying,/pokedex/ledyba,Five Star Pokémon,1,10.8,Swarm,255,53,Fast,50% male, 50% female,40,20,30,40,80,55,265
#0166,Ledian,Bug,Flying,/pokedex/ledian,Five Star Pokémon,1.4,35.6,Swarm,90,137,Fast,50% male, 50% female,55,35,50,55,110,85,390
#0167,Spinarak,Bug,Poison,/pokedex/spinarak,String Spit Pokémon,0.5,8.5,Swarm,255,50,Fast,50% male, 50% female,40,60,40,40,40,30,250
#0168,Ariados,Bug,Poison,/pokedex/ariados,Long Leg Pokémon,1.1,33.5,Swarm,90,140,Fast,50% male, 50% female,70,90,70,60,70,40,400
#0169,Crobat,Poison,Flying,/pokedex/crobat,Bat Pokémon,1.8,75,Inner Focus,90,241,Medium Fast,50% male, 50% female,85,90,80,70,80,130,535
#0170,Chinchou,Water,Electric,/pokedex/chinchou,Angler Pokémon,0.5,12,Volt Absorb,190,66,Slow,50% male, 50% female,75,38,38,56,56,67,330
#0171,Lanturn,Water,Electric,/pokedex/lanturn,Light Pokémon,1.2,22.5,Volt Absorb,75,161,Slow,50% male, 50% female,125,58,58,76,76,67,460
#0172,Pichu,Electric,Nan,/pokedex/pichu,Tiny Mouse Pokémon,0.3,2,Static,190,41,Medium Fast,50% male, 50% female,20,40,15,35,35,60,205
#0173,Cleffa,Fairy,Nan,/pokedex/cleffa,Star Shape Pokémon,0.3,3,Cute Charm,150,44,Fast,25% male, 75% female,50,25,28,45,55,15,218
#0174,Igglybuff,Normal,Fairy,/pokedex/igglybuff,Balloon Pokémon,0.3,1,Cute Charm,170,42,Fast,25% male, 75% female,90,30,15,40,20,15,210
#0175,Togepi,Fairy,Nan,/pokedex/togepi,Spike Ball Pokémon,0.3,1.5,Hustle,190,49,Fast,87.5% male, 12.5% female,35,20,65,40,65,20,245
#0176,Togetic,Fairy,Flying,/pokedex/togetic,Happiness Pokémon,0.6,3.2,Hustle,75,142,Fast,87.5% male, 12.5% female,55,40,85,80,105,40,405
#0177,Natu,Psychic,Flying,/pokedex/natu,Tiny Bird Pokémon,0.2,2,Synchronize,190,64,Medium Fast,50% male, 50% female,40,50,45,70,45,70,320
#0178,Xatu,Psychic,Flying,/pokedex/xatu,Mystic Pokémon,1.5,15,Synchronize,75,165,Medium Fast,50% male, 50% female,65,75,70,95,70,95,470
#0179,Mareep,Electric,Nan,/pokedex/mareep,Wool Pokémon,0.6,7.8,Static,235,56,Medium Slow,50% male, 50% female,55,40,40,65,45,35,280
#0180,Flaaffy,Electric,Nan,/pokedex/flaaffy,Wool Pokémon,0.8,13.3,Static,120,128,Medium Slow,50% male, 50% female,70,55,55,80,60,45,365
#0181,Ampharos,Electric,Nan,/pokedex/ampharos,Light Pokémon,1.4,61.5,Static,45,255,Medium Slow,50% male, 50% female,90,75,85,115,90,55,510
#0182,Bellossom,Grass,Nan,/pokedex/bellossom,Flower Pokémon,0.4,5.8,Chlorophyll,45,221,Medium Slow,50% male, 50% female,75,80,95,90,100,50,490
#0183,Marill,Water,Fairy,/pokedex/marill,Aqua Mouse Pokémon,0.4,8.5,Thick Fat,190,88,Fast,50% male, 50% female,70,20,50,20,50,40,250
#0184,Azumarill,Water,Fairy,/pokedex/azumarill,Aqua Rabbit Pokémon,0.8,28.5,Thick Fat,75,210,Fast,50% male, 50% female,100,50,80,60,80,50,420
#0185,Sudowoodo,Rock,Nan,/pokedex/sudowoodo,Imitation Pokémon,1.2,38,Sturdy,65,144,Medium Fast,50% male, 50% female,70,100,115,30,65,30,410
#0186,Politoed,Water,Nan,/pokedex/politoed,Frog Pokémon,1.1,33.9,Water Absorb,45,225,Medium Slow,50% male, 50% female,90,75,75,90,100,70,500
#0187,Hoppip,Grass,Flying,/pokedex/hoppip,Cottonweed Pokémon,0.4,0.5,Chlorophyll,255,50,Medium Slow,50% male, 50% female,35,35,40,35,55,50,250
#0188,Skiploom,Grass,Flying,/pokedex/skiploom,Cottonweed Pokémon,0.6,1,Chlorophyll,120,119,Medium Slow,50% male, 50% female,55,45,50,45,65,80,340
#0189,Jumpluff,Grass,Flying,/pokedex/jumpluff,Cottonweed Pokémon,0.8,3,Chlorophyll,45,230,Medium Slow,50% male, 50% female,75,55,70,55,95,110,460
#0190,Aipom,Normal,Nan,/pokedex/aipom,Long Tail Pokémon,0.8,11.5,Run Away,45,72,Fast,50% male, 50% female,55,70,55,40,55,85,360
#0191,Sunkern,Grass,Nan,/pokedex/sunkern,Seed Pokémon,0.3,1.8,Chlorophyll,235,36,Medium Slow,50% male, 50% female,30,30,30,30,30,30,180
#0192,Sunflora,Grass,Nan,/pokedex/sunflora,Sun Pokémon,0.8,8.5,Chlorophyll,120,149,Medium Slow,50% male, 50% female,75,75,55,105,85,30,425
#0193,Yanma,Bug,Flying,/pokedex/yanma,Clear Wing Pokémon,1.2,38,Speed Boost,75,78,Medium Fast,50% male, 50% female,65,65,45,75,45,95,390
#0194,Wooper,Water,Ground,/pokedex/wooper,Water Fish Pokémon,0.4,8.5,Damp,255,42,Medium Fast,50% male, 50% female,55,45,45,25,25,15,210
#0195,Quagsire,Water,Ground,/pokedex/quagsire,Water Fish Pokémon,1.4,75,Damp,90,151,Medium Fast,50% male, 50% female,95,85,85,65,65,35,430
#0196,Espeon,Psychic,Nan,/pokedex/espeon,Sun Pokémon,0.9,26.5,Synchronize,45,184,Medium Fast,87.5% male, 12.5% female,65,65,60,130,95,110,525
#0197,Umbreon,Dark,Nan,/pokedex/umbreon,Moonlight Pokémon,1,27,Synchronize,45,184,Medium Fast,87.5% male, 12.5% female,95,65,110,60,130,65,525
#0198,Murkrow,Dark,Flying,/pokedex/murkrow,Darkness Pokémon,0.5,2.1,Insomnia,30,81,Medium Slow,50% male, 50% female,60,85,42,85,42,91,405
#0199,Slowking,Water,Psychic,/pokedex/slowking,Royal Pokémon,2,79.5,Oblivious,70,172,Medium Fast,50% male, 50% female,95,75,80,100,110,30,490
#0200,Misdreavus,Ghost,Nan,/pokedex/misdreavus,Screech Pokémon,0.7,1,Levitate,45,87,Fast,50% male, 50% female,60,60,60,85,85,85,435
#0201,Unown,Psychic,Nan,/pokedex/unown,Symbol Pokémon,0.5,5,Levitate,225,118,Medium Fast,Genderless,48,72,48,72,48,48,336,
#0202,Wobbuffet,Psychic,Nan,/pokedex/wobbuffet,Patient Pokémon,1.3,28.5,Shadow Tag,45,142,Medium Fast,50% male, 50% female,190,33,58,33,58,33,405
#0203,Girafarig,Normal,Psychic,/pokedex/girafarig,Long Neck Pokémon,1.5,41.5,Inner Focus,60,159,Medium Fast,50% male, 50% female,70,80,65,90,65,85,455
#0204,Pineco,Bug,Nan,/pokedex/pineco,Bagworm Pokémon,0.6,7.2,Sturdy,190,58,Medium Fast,50% male, 50% female,50,65,90,35,35,15,290
#0205,Forretress,Bug,Steel,/pokedex/forretress,Bagworm Pokémon,1.2,125.8,Sturdy,75,163,Medium Fast,50% male, 50% female,75,90,140,60,60,40,465
#0206,Dunsparce,Normal,Nan,/pokedex/dunsparce,Land Snake Pokémon,1.5,14,Serene Grace,190,145,Medium Fast,50% male, 50% female,100,70,70,65,65,45,415
#0207,Gligar,Ground,Flying,/pokedex/gligar,FlyScorpion Pokémon,1.1,64.8,Hyper Cutter,60,86,Medium Slow,50% male, 50% female,65,75,105,35,65,85,430
#0208,Steelix,Steel,Ground,/pokedex/steelix,Iron Snake Pokémon,9.2,400,Rock Head,25,179,Medium Fast,50% male, 50% female,75,85,200,55,65,30,510
#0209,Snubbull,Fairy,Nan,/pokedex/snubbull,Fairy Pokémon,0.6,7.8,Intimidate,190,60,Fast,25% male, 75% female,60,80,50,40,40,30,300
#0210,Granbull,Fairy,Nan,/pokedex/granbull,Fairy Pokémon,1.4,48.7,Intimidate,75,158,Fast,25% male, 75% female,90,120,75,60,60,45,450
#0211,Qwilfish,Water,Poison,/pokedex/qwilfish,Balloon Pokémon,0.5,3.9,Poison Point,45,88,Medium Fast,50% male, 50% female,65,95,85,55,55,85,440
#0212,Scizor,Bug,Steel,/pokedex/scizor,Pincer Pokémon,1.8,118,Swarm,25,175,Medium Fast,50% male, 50% female,70,130,100,55,80,65,500
#0213,Shuckle,Bug,Rock,/pokedex/shuckle,Mold Pokémon,0.6,20.5,Sturdy,190,177,Medium Slow,50% male, 50% female,20,10,230,10,230,5,505
#0214,Heracross,Bug,Fighting,/pokedex/heracross,Single Horn Pokémon,1.5,54,Swarm,45,175,Slow,50% male, 50% female,80,125,75,40,95,85,500
#0215,Sneasel,Dark,Ice,/pokedex/sneasel,Sharp Claw Pokémon,0.9,28,Inner Focus,60,86,Medium Slow,50% male, 50% female,55,95,55,35,75,115,430
#0216,Teddiursa,Normal,Nan,/pokedex/teddiursa,Little Bear Pokémon,0.6,8.8,Pickup,120,66,Medium Fast,50% male, 50% female,60,80,50,50,50,40,330
#0217,Ursaring,Normal,Nan,/pokedex/ursaring,Hibernator Pokémon,1.8,125.8,Guts,60,175,Medium Fast,50% male, 50% female,90,130,75,75,75,55,500
#0218,Slugma,Fire,Nan,/pokedex/slugma,Lava Pokémon,0.7,35,Magma Armor,190,50,Medium Fast,50% male, 50% female,40,40,40,70,40,20,250
#0219,Magcargo,Fire,Rock,/pokedex/magcargo,Lava Pokémon,0.8,55,Magma Armor,75,151,Medium Fast,50% male, 50% female,60,50,120,90,80,30,430
#0220,Swinub,Ice,Ground,/pokedex/swinub,Pig Pokémon,0.4,6.5,Oblivious,225,50,Slow,50% male, 50% female,50,50,40,30,30,50,250
#0221,Piloswine,Ice,Ground,/pokedex/piloswine,Swine Pokémon,1.1,55.8,Oblivious,75,158,Slow,50% male, 50% female,100,100,80,60,60,50,450
#0222,Corsola,Water,Rock,/pokedex/corsola,Coral Pokémon,0.6,5,Hustle,60,144,Fast,25% male, 75% female,65,55,95,65,95,35,410
#0223,Remoraid,Water,Nan,/pokedex/remoraid,Jet Pokémon,0.6,12,Hustle,190,60,Medium Fast,50% male, 50% female,35,65,35,65,35,65,300
#0224,Octillery,Water,Nan,/pokedex/octillery,Jet Pokémon,0.9,28.5,Suction Cups,75,168,Medium Fast,50% male, 50% female,75,105,75,105,75,45,480
#0225,Delibird,Ice,Flying,/pokedex/delibird,Delivery Pokémon,0.9,16,Vital Spirit,45,116,Fast,50% male, 50% female,45,55,45,65,45,75,330
#0226,Mantine,Water,Flying,/pokedex/mantine,Kite Pokémon,2.1,220,Swift Swim,25,170,Slow,50% male, 50% female,85,40,70,80,140,70,485
#0227,Skarmory,Steel,Flying,/pokedex/skarmory,Armor Bird Pokémon,1.7,50.5,Keen Eye,25,163,Slow,50% male, 50% female,65,80,140,40,70,70,465
#0228,Houndour,Dark,Fire,/pokedex/houndour,Dark Pokémon,0.6,10.8,Early Bird,120,66,Slow,50% male, 50% female,45,60,30,80,50,65,330
#0229,Houndoom,Dark,Fire,/pokedex/houndoom,Dark Pokémon,1.4,35,Early Bird,45,175,Slow,50% male, 50% female,75,90,50,110,80,95,500
#0230,Kingdra,Water,Dragon,/pokedex/kingdra,Dragon Pokémon,1.8,152,Swift Swim,45,243,Medium Fast,50% male, 50% female,75,95,95,95,95,85,540
#0231,Phanpy,Ground,Nan,/pokedex/phanpy,Long Nose Pokémon,0.5,33.5,Pickup,120,66,Medium Fast,50% male, 50% female,90,60,60,40,40,40,330
#0232,Donphan,Ground,Nan,/pokedex/donphan,Armor Pokémon,1.1,120,Sturdy,60,175,Medium Fast,50% male, 50% female,90,120,120,60,60,50,500
#0233,Porygon2,Normal,Nan,/pokedex/porygon2,Virtual Pokémon,0.6,32.5,Trace,45,180,Medium Fast,Genderless,85,80,90,105,95,60,515,
#0234,Stantler,Normal,Nan,/pokedex/stantler,Big Horn Pokémon,1.4,71.2,Intimidate,45,163,Slow,50% male, 50% female,73,95,62,85,65,85,465
#0235,Smeargle,Normal,Nan,/pokedex/smeargle,Painter Pokémon,1.2,58,Own Tempo,45,88,Fast,50% male, 50% female,55,20,35,20,45,75,250
#0236,Tyrogue,Fighting,Nan,/pokedex/tyrogue,Scuffle Pokémon,0.7,21,Guts,75,42,Medium Fast,100% male, 0% female,35,35,35,35,35,35,210
#0237,Hitmontop,Fighting,Nan,/pokedex/hitmontop,Handstand Pokémon,1.4,48,Intimidate,45,159,Medium Fast,100% male, 0% female,50,95,95,35,110,70,455
#0238,Smoochum,Ice,Psychic,/pokedex/smoochum,Kiss Pokémon,0.4,6,Oblivious,45,61,Medium Fast,0% male, 100% female,45,30,15,85,65,65,305
#0239,Elekid,Electric,Nan,/pokedex/elekid,Electric Pokémon,0.6,23.5,Static,45,72,Medium Fast,75% male, 25% female,45,63,37,65,55,95,360
#0240,Magby,Fire,Nan,/pokedex/magby,Live Coal Pokémon,0.7,21.4,Flame Body,45,73,Medium Fast,75% male, 25% female,45,75,37,70,55,83,365
#0241,Miltank,Normal,Nan,/pokedex/miltank,Milk Cow Pokémon,1.2,75.5,Thick Fat,45,172,Slow,0% male, 100% female,95,80,105,40,70,100,490
#0242,Blissey,Normal,Nan,/pokedex/blissey,Happiness Pokémon,1.5,46.8,Natural Cure,30,635,Fast,0% male, 100% female,255,10,10,75,135,55,540
#0243,Raikou,Electric,Nan,/pokedex/raikou,Thunder Pokémon,1.9,178,Pressure,3,261,Slow,Genderless,90,85,75,115,100,115,580,
#0244,Entei,Fire,Nan,/pokedex/entei,Volcano Pokémon,2.1,198,Pressure,3,261,Slow,Genderless,115,115,85,90,75,100,580,
#0245,Suicune,Water,Nan,/pokedex/suicune,Aurora Pokémon,2,187,Pressure,3,261,Slow,Genderless,100,75,115,90,115,85,580,
#0246,Larvitar,Rock,Ground,/pokedex/larvitar,Rock Skin Pokémon,0.6,72,Guts,45,60,Slow,50% male, 50% female,50,64,50,45,50,41,300
#0247,Pupitar,Rock,Ground,/pokedex/pupitar,Hard Shell Pokémon,1.2,152,Shed Skin,45,144,Slow,50% male, 50% female,70,84,70,65,70,51,410
#0248,Tyranitar,Rock,Dark,/pokedex/tyranitar,Armor Pokémon,2,202,Sand Stream,45,300,Slow,50% male, 50% female,100,134,110,95,100,61,600
#0249,Lugia,Psychic,Flying,/pokedex/lugia,Diving Pokémon,5.2,216,Pressure,3,306,Slow,Genderless,106,90,130,90,154,110,680,
#0250,Ho-oh,Fire,Flying,/pokedex/ho-oh,Rainbow Pokémon,3.8,199,Pressure,3,306,Slow,Genderless,106,130,90,110,154,90,680,
#0251,Celebi,Psychic,Grass,/pokedex/celebi,Time Travel Pokémon,0.6,5,Natural Cure,45,270,Medium Slow,Genderless,100,100,100,100,100,100,600,
#0252,Treecko,Grass,Nan,/pokedex/treecko,Wood Gecko Pokémon,0.5,5,Overgrow,45,62,Medium Slow,87.5% male, 12.5% female,40,45,35,65,55,70,310
#0253,Grovyle,Grass,Nan,/pokedex/grovyle,Wood Gecko Pokémon,0.9,21.6,Overgrow,45,142,Medium Slow,87.5% male, 12.5% female,50,65,45,85,65,95,405
#0254,Sceptile,Grass,Nan,/pokedex/sceptile,Forest Pokémon,1.7,52.2,Overgrow,45,239,Medium Slow,87.5% male, 12.5% female,70,85,65,105,85,120,530
#0255,Torchic,Fire,Nan,/pokedex/torchic,Chick Pokémon,0.4,2.5,Blaze,45,62,Medium Slow,87.5% male, 12.5% female,45,60,40,70,50,45,310
#0256,Combusken,Fire,Fighting,/pokedex/combusken,Young Fowl Pokémon,0.9,19.5,Blaze,45,142,Medium Slow,87.5% male, 12.5% female,60,85,60,85,60,55,405
#0257,Blaziken,Fire,Fighting,/pokedex/blaziken,Blaze Pokémon,1.9,52,Blaze,45,239,Medium Slow,87.5% male, 12.5% female,80,120,70,110,70,80,530
#0258,Mudkip,Water,Nan,/pokedex/mudkip,Mud Fish Pokémon,0.4,7.6,Torrent,45,62,Medium Slow,87.5% male, 12.5% female,50,70,50,50,50,40,310
#0259,Marshtomp,Water,Ground,/pokedex/marshtomp,Mud Fish Pokémon,0.7,28,Torrent,45,142,Medium Slow,87.5% male, 12.5% female,70,85,70,60,70,50,405
#0260,Swampert,Water,Ground,/pokedex/swampert,Mud Fish Pokémon,1.5,81.9,Torrent,45,241,Medium Slow,87.5% male, 12.5% female,100,110,90,85,90,60,535
#0261,Poochyena,Dark,Nan,/pokedex/poochyena,Bite Pokémon,0.5,13.6,Run Away,255,56,Medium Fast,50% male, 50% female,35,55,35,30,30,35,220
#0262,Mightyena,Dark,Nan,/pokedex/mightyena,Bite Pokémon,1,37,Intimidate,127,147,Medium Fast,50% male, 50% female,70,90,70,60,60,70,420
#0263,Zigzagoon,Normal,Nan,/pokedex/zigzagoon,TinyRaccoon Pokémon,0.4,17.5,Pickup,255,56,Medium Fast,50% male, 50% female,38,30,41,30,41,60,240
#0264,Linoone,Normal,Nan,/pokedex/linoone,Rushing Pokémon,0.5,32.5,Pickup,90,147,Medium Fast,50% male, 50% female,78,70,61,50,61,100,420
#0265,Wurmple,Bug,Nan,/pokedex/wurmple,Worm Pokémon,0.3,3.6,Shield Dust,255,56,Medium Fast,50% male, 50% female,45,45,35,20,30,20,195
#0266,Silcoon,Bug,Nan,/pokedex/silcoon,Cocoon Pokémon,0.6,10,Shed Skin,120,72,Medium Fast,50% male, 50% female,50,35,55,25,25,15,205
#0267,Beautifly,Bug,Flying,/pokedex/beautifly,Butterfly Pokémon,1,28.4,Swarm,45,178,Medium Fast,50% male, 50% female,60,70,50,100,50,65,395
#0268,Cascoon,Bug,Nan,/pokedex/cascoon,Cocoon Pokémon,0.7,11.5,Shed Skin,120,72,Medium Fast,50% male, 50% female,50,35,55,25,25,15,205
#0269,Dustox,Bug,Poison,/pokedex/dustox,Poison Moth Pokémon,1.2,31.6,Shield Dust,45,173,Medium Fast,50% male, 50% female,60,50,70,50,90,65,385
#0270,Lotad,Water,Grass,/pokedex/lotad,Water Weed Pokémon,0.5,2.6,Swift Swim,255,44,Medium Slow,50% male, 50% female,40,30,30,40,50,30,220
#0271,Lombre,Water,Grass,/pokedex/lombre,Jolly Pokémon,1.2,32.5,Swift Swim,120,119,Medium Slow,50% male, 50% female,60,50,50,60,70,50,340
#0272,Ludicolo,Water,Grass,/pokedex/ludicolo,Carefree Pokémon,1.5,55,Swift Swim,45,216,Medium Slow,50% male, 50% female,80,70,70,90,100,70,480
#0273,Seedot,Grass,Nan,/pokedex/seedot,Acorn Pokémon,0.5,4,Chlorophyll,255,44,Medium Slow,50% male, 50% female,40,40,50,30,30,30,220
#0274,Nuzleaf,Grass,Dark,/pokedex/nuzleaf,Wily Pokémon,1,28,Chlorophyll,120,119,Medium Slow,50% male, 50% female,70,70,40,60,40,60,340
#0275,Shiftry,Grass,Dark,/pokedex/shiftry,Wicked Pokémon,1.3,59.6,Chlorophyll,45,216,Medium Slow,50% male, 50% female,90,100,60,90,60,80,480
#0276,Taillow,Normal,Flying,/pokedex/taillow,TinySwallow Pokémon,0.3,2.3,Guts,200,54,Medium Slow,50% male, 50% female,40,55,30,30,30,85,270
#0277,Swellow,Normal,Flying,/pokedex/swellow,Swallow Pokémon,0.7,19.8,Guts,45,159,Medium Slow,50% male, 50% female,60,85,60,75,50,125,455
#0278,Wingull,Water,Flying,/pokedex/wingull,Seagull Pokémon,0.6,9.5,Keen Eye,190,54,Medium Fast,50% male, 50% female,40,30,30,55,30,85,270
#0279,Pelipper,Water,Flying,/pokedex/pelipper,Water Bird Pokémon,1.2,28,Keen Eye,45,154,Medium Fast,50% male, 50% female,60,50,100,95,70,65,440
#0280,Ralts,Psychic,Fairy,/pokedex/ralts,Feeling Pokémon,0.4,6.6,Synchronize,235,40,Slow,50% male, 50% female,28,25,25,45,35,40,198
#0281,Kirlia,Psychic,Fairy,/pokedex/kirlia,Emotion Pokémon,0.8,20.2,Synchronize,120,97,Slow,50% male, 50% female,38,35,35,65,55,50,278
#0282,Gardevoir,Psychic,Fairy,/pokedex/gardevoir,Embrace Pokémon,1.6,48.4,Synchronize,45,259,Slow,50% male, 50% female,68,65,65,125,115,80,518
#0283,Surskit,Bug,Water,/pokedex/surskit,Pond Skater Pokémon,0.5,1.7,Swift Swim,200,54,Medium Fast,50% male, 50% female,40,30,32,50,52,65,269
#0284,Masquerain,Bug,Flying,/pokedex/masquerain,Eyeball Pokémon,0.8,3.6,Intimidate,75,159,Medium Fast,50% male, 50% female,70,60,62,100,82,80,454
#0285,Shroomish,Grass,Nan,/pokedex/shroomish,Mushroom Pokémon,0.4,4.5,Effect Spore,255,59,Fluctuating,50% male, 50% female,60,40,60,40,60,35,295
#0286,Breloom,Grass,Fighting,/pokedex/breloom,Mushroom Pokémon,1.2,39.2,Effect Spore,90,161,Fluctuating,50% male, 50% female,60,130,80,60,60,70,460
#0287,Slakoth,Normal,Nan,/pokedex/slakoth,Slacker Pokémon,0.8,24,Truant,255,56,Slow,50% male, 50% female,60,60,60,35,35,30,280
#0288,Vigoroth,Normal,Nan,/pokedex/vigoroth,Wild Monkey Pokémon,1.4,46.5,Vital Spirit,120,154,Slow,50% male, 50% female,80,80,80,55,55,90,440
#0289,Slaking,Normal,Nan,/pokedex/slaking,Lazy Pokémon,2,130.5,Truant,45,285,Slow,50% male, 50% female,150,160,100,95,65,100,670
#0290,Nincada,Bug,Ground,/pokedex/nincada,Trainee Pokémon,0.5,5.5,Compound Eyes,255,53,Erratic,50% male, 50% female,31,45,90,30,30,40,266
#0291,Ninjask,Bug,Flying,/pokedex/ninjask,Ninja Pokémon,0.8,12,Speed Boost,120,160,Erratic,50% male, 50% female,61,90,45,50,50,160,456
#0292,Shedinja,Bug,Ghost,/pokedex/shedinja,Shed Pokémon,0.8,1.2,Wonder Guard,45,83,Erratic,Genderless,1,90,45,30,30,40,236,
#0293,Whismur,Normal,Nan,/pokedex/whismur,Whisper Pokémon,0.6,16.3,Soundproof,190,48,Medium Slow,50% male, 50% female,64,51,23,51,23,28,240
#0294,Loudred,Normal,Nan,/pokedex/loudred,Big Voice Pokémon,1,40.5,Soundproof,120,126,Medium Slow,50% male, 50% female,84,71,43,71,43,48,360
#0295,Exploud,Normal,Nan,/pokedex/exploud,Loud Noise Pokémon,1.5,84,Soundproof,45,221,Medium Slow,50% male, 50% female,104,91,63,91,73,68,490
#0296,Makuhita,Fighting,Nan,/pokedex/makuhita,Guts Pokémon,1,86.4,Thick Fat,180,47,Fluctuating,75% male, 25% female,72,60,30,20,30,25,237
#0297,Hariyama,Fighting,Nan,/pokedex/hariyama,Arm Thrust Pokémon,2.3,253.8,Thick Fat,200,166,Fluctuating,75% male, 25% female,144,120,60,40,60,50,474
#0298,Azurill,Normal,Fairy,/pokedex/azurill,Polka Dot Pokémon,0.2,2,Thick Fat,150,38,Fast,25% male, 75% female,50,20,40,20,40,20,190
#0299,Nosepass,Rock,Nan,/pokedex/nosepass,Compass Pokémon,1,97,Sturdy,255,75,Medium Fast,50% male, 50% female,30,45,135,45,90,30,375
#0300,Skitty,Normal,Nan,/pokedex/skitty,Kitten Pokémon,0.6,11,Cute Charm,255,52,Fast,25% male, 75% female,50,45,45,35,35,50,260
#0301,Delcatty,Normal,Nan,/pokedex/delcatty,Prim Pokémon,1.1,32.6,Cute Charm,60,140,Fast,25% male, 75% female,70,65,65,55,55,90,400
#0302,Sableye,Dark,Ghost,/pokedex/sableye,Darkness Pokémon,0.5,11,Keen Eye,45,133,Medium Slow,50% male, 50% female,50,75,75,65,65,50,380
#0303,Mawile,Steel,Fairy,/pokedex/mawile,Deceiver Pokémon,0.6,11.5,Hyper Cutter,45,133,Fast,50% male, 50% female,50,85,85,55,55,50,380
#0304,Aron,Steel,Rock,/pokedex/aron,Iron Armor Pokémon,0.4,60,Sturdy,180,66,Slow,50% male, 50% female,50,70,100,40,40,30,330
#0305,Lairon,Steel,Rock,/pokedex/lairon,Iron Armor Pokémon,0.9,120,Sturdy,90,151,Slow,50% male, 50% female,60,90,140,50,50,40,430
#0306,Aggron,Steel,Rock,/pokedex/aggron,Iron Armor Pokémon,2.1,360,Sturdy,45,239,Slow,50% male, 50% female,70,110,180,60,60,50,530
#0307,Meditite,Fighting,Psychic,/pokedex/meditite,Meditate Pokémon,0.6,11.2,Pure Power,180,56,Medium Fast,50% male, 50% female,30,40,55,40,55,60,280
#0308,Medicham,Fighting,Psychic,/pokedex/medicham,Meditate Pokémon,1.3,31.5,Pure Power,90,144,Medium Fast,50% male, 50% female,60,60,75,60,75,80,410
#0309,Electrike,Electric,Nan,/pokedex/electrike,Lightning Pokémon,0.6,15.2,Static,120,59,Slow,50% male, 50% female,40,45,40,65,40,65,295
#0310,Manectric,Electric,Nan,/pokedex/manectric,Discharge Pokémon,1.5,40.2,Static,45,166,Slow,50% male, 50% female,70,75,60,105,60,105,475
#0311,Plusle,Electric,Nan,/pokedex/plusle,Cheering Pokémon,0.4,4.2,Plus,200,142,Medium Fast,50% male, 50% female,60,50,40,85,75,95,405
#0312,Minun,Electric,Nan,/pokedex/minun,Cheering Pokémon,0.4,4.2,Minus,200,142,Medium Fast,50% male, 50% female,60,40,50,75,85,95,405
#0313,Volbeat,Bug,Nan,/pokedex/volbeat,Firefly Pokémon,0.7,17.7,Illuminate,150,151,Erratic,100% male, 0% female,65,73,75,47,85,85,430
#0314,Illumise,Bug,Nan,/pokedex/illumise,Firefly Pokémon,0.6,17.7,Oblivious,150,151,Fluctuating,0% male, 100% female,65,47,75,73,85,85,430
#0315,Roselia,Grass,Poison,/pokedex/roselia,Thorn Pokémon,0.3,2,Natural Cure,150,140,Medium Slow,50% male, 50% female,50,60,45,100,80,65,400
#0316,Gulpin,Poison,Nan,/pokedex/gulpin,Stomach Pokémon,0.4,10.3,Liquid Ooze,225,60,Fluctuating,50% male, 50% female,70,43,53,43,53,40,302
#0317,Swalot,Poison,Nan,/pokedex/swalot,Poison Bag Pokémon,1.7,80,Liquid Ooze,75,163,Fluctuating,50% male, 50% female,100,73,83,73,83,55,467
#0318,Carvanha,Water,Dark,/pokedex/carvanha,Savage Pokémon,0.8,20.8,Rough Skin,225,61,Slow,50% male, 50% female,45,90,20,65,20,65,305
#0319,Sharpedo,Water,Dark,/pokedex/sharpedo,Brutal Pokémon,1.8,88.8,Rough Skin,60,161,Slow,50% male, 50% female,70,120,40,95,40,95,460
#0320,Wailmer,Water,Nan,/pokedex/wailmer,Ball Whale Pokémon,2,130,Water Veil,125,80,Fluctuating,50% male, 50% female,130,70,35,70,35,60,400
#0321,Wailord,Water,Nan,/pokedex/wailord,Float Whale Pokémon,14.5,398,Water Veil,60,175,Fluctuating,50% male, 50% female,170,90,45,90,45,60,500
#0322,Numel,Fire,Ground,/pokedex/numel,Numb Pokémon,0.7,24,Oblivious,255,61,Medium Fast,50% male, 50% female,60,60,40,65,45,35,305
#0323,Camerupt,Fire,Ground,/pokedex/camerupt,Eruption Pokémon,1.9,220,Magma Armor,150,161,Medium Fast,50% male, 50% female,70,100,70,105,75,40,460
